RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
C1_1,km,7/25/22 19:30,1.398,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,313.5625,14.3695,21.8214,360 630 2620 4070  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1316.7087,0,69.1817,0,217.3406,0,0.5254,0,419.334,0,2.855,,,4031,12024,1406,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,934.021,253.5504,58.6841,44.7566,14.2533,5.7818,2.4996,1.0854,0.1842,0.9875,64.0042,55.0486,22.3043,23.892,9.9799,4.9217,2.5135,1.2848,0.2456,1.4882,20.3732,17.5225,7.0997,7.6051,3.1767,1.5666,0.8001,0.409,0.0782,0.4737,0.4447,0.9924,0.6834,1.0219,0.5589,0.3341,0.2015,0.1211,0.026,0.1796,3851,146,24,4,2,4,0,0,0,0
T3_2,km,7/25/22 19:33,1.071,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,341.8196,14.3695,23.7879,380 640 2640 4390  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,948.6815,0,54.4956,0,171.2031,0,0.5744,0,302.1279,0,2.459,,,2929,8672,805,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,607.0477,238.234,60.8123,27.0643,8.8321,3.0921,2.3405,0.5087,0.3882,0.1713,43.2019,52.7812,22.9176,14.5591,6.2261,2.6737,2.354,0.5668,0.5279,0.2554,13.7516,16.8008,7.2949,4.6343,1.9818,0.8511,0.7493,0.1804,0.168,0.0813,0.3125,0.9702,0.696,0.6276,0.3507,0.1845,0.1889,0.0501,0.0572,0.0303,2817,92,16,4,0,0,0,0,0,0
T2_3,km,7/25/22 19:34,1.186,,,,,,,ScannerOrCamera,,281.9255,14.8146,19.0303,400 630 2730 3630  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,838.8587,0,49.745,0,156.2787,0,0.593,0,267.1525,0,2.317,,,2358,6782,639,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,524.5382,199.8893,73.5656,26.1499,8.9092,3.6767,1.0023,0.5745,0.1529,0.1856,37.3333,44.0574,28.0297,13.9353,6.2685,3.1997,1.012,0.6644,0.2035,0.2776,11.8836,14.0239,8.9221,4.4357,1.9953,1.0185,0.3221,0.2115,0.0648,0.0884,0.2696,0.8053,0.8601,0.595,0.3524,0.222,0.0815,0.0613,0.0216,0.0331,2235,96,21,4,0,2,0,0,0,0
T4_2,km,7/25/22 19:37,0.705,,,,,,,ScannerOrCamera,,255.7899,13.3522,19.1572,370 940 2470 3960  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,888.7243,0,42.8895,0,134.7413,0,0.4826,0,283.0332,0,1.626,,,2062,6938,908,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,643.7337,176.4505,44.4668,15.8148,4.4312,2.1889,0.6356,0.4585,0,0.0333,47.0795,37.2361,16.8823,8.3977,3.1069,1.8794,0.6345,0.5271,0,0.0509,14.9859,11.8526,5.3738,2.6731,0.989,0.5982,0.202,0.1678,0,0.0162,0.3411,0.6502,0.516,0.3573,0.174,0.1287,0.0506,0.0483,0,0.0062,1991,64,7,0,0,0,0,0,0,0
T1_2,km,7/25/22 19:39,0.542,,1.757,0.156,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,264.3405,14.3695,18.396,230 790 2490 3690  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-146,Smooth Off Area Off LWRatio Off,Off,3.14,1172.6593,0,48.1785,0,151.3574,0,0.4108,0,373.4584,0,1.555,,,2905,8535,1268,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,930.2522,194.0869,36.3786,9.6319,1.4897,0.2002,0.0941,0,0,0,65.7079,41.4127,13.4968,5.0894,1.0346,0.1692,0.0903,0,0,0,20.9155,13.1821,4.2962,1.62,0.3293,0.0539,0.0287,0,0,0,0.4595,0.7327,0.4033,0.2154,0.0574,0.0114,0.0069,0,0,0,2805,88,10,2,0,0,0,0,0,0
T4_1,km,7/25/22 19:41,0.435,,,,,,,ScannerOrCamera,,310.7876,14.2423,21.8214,240 480 2480 3920  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,649.1969,0,28.5929,0,89.8273,0,0.4404,0,206.7506,0,0.989,,,1551,3397,431,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,495.7759,116.1659,29.9915,5.4663,1.2346,0.0947,0.1719,0.0206,0,0,37.0855,24.3661,11.2888,2.862,0.8818,0.0808,0.1792,0.0243,0,0,11.8047,7.756,3.5933,0.911,0.2807,0.0257,0.057,0.0077,0,0,0.2698,0.4247,0.3423,0.1201,0.0503,0.0055,0.0149,0.0023,0,0,1481,62,8,0,0,0,0,0,0,0
C2_3,km,7/25/22 19:44,1.509,,,,,,,ScannerOrCamera,,339.8433,13.988,24.2954,300 250 2500 4080  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1530.3667,0,89.2853,0,280.4979,0,0.5834,0,487.3779,0,4.091,,,4194,15394,1492,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1017.5896,316.9206,107.9673,47.9189,21.5366,10.6351,4.0975,2.1425,0.7959,0,71.3172,69.691,41.399,25.8442,15.0594,9.1457,4.1154,2.4987,1.3033,0,22.701,22.1833,13.1777,8.2265,4.7936,2.9112,1.31,0.7954,0.4148,0,0.5037,1.2723,1.2791,1.1172,0.8415,0.6273,0.3296,0.2323,0.137,0,4052,121,16,4,1,0,0,0,0,0
T3_3,km,7/25/22 19:47,1.505,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,302.6807,15.196,19.9184,270 900 2660 4040  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,1213.4138,0,71.3582,0,224.1785,0,0.5881,0,386.4375,0,3.296,,,3942,11852,1129,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,793.3216,262.7473,89.9763,37.6578,14.8151,7.5292,3.3098,1.3512,0.8342,1.1774,54.7597,57.6535,34.4023,20.2067,10.3432,6.4663,3.3858,1.56,1.1057,1.8666,17.4306,18.3517,10.9506,6.432,3.2923,2.0583,1.0777,0.4966,0.3519,0.5942,0.3871,1.0522,1.0601,0.8694,0.577,0.4429,0.2763,0.1435,0.1168,0.2369,3809,106,20,5,2,0,0,0,0,0
T4_4,km,7/25/22 19:49,0.497,,,,,,,ScannerOrCamera,,168.7923,14.3059,11.7988,410 1220 2660 3080  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,745.617,0,35.2509,0,110.7441,0,0.4728,0,237.4576,0,1.309,,,1967,5438,686,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,551.6961,142.1501,35.4407,10.2256,3.3874,1.2375,0.5489,0.3715,0,0.1777,39.6366,29.8754,13.241,5.5395,2.3787,1.0462,0.5567,0.4314,0,0.3207,12.6167,9.5096,4.2147,1.7633,0.7572,0.333,0.1772,0.1373,0,0.1021,0.281,0.5218,0.3984,0.2408,0.1334,0.0706,0.045,0.0399,0,0.0342,1881,80,3,2,0,0,0,1,0,0
C1_4,km,7/25/22 19:51,0.785,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,314.9177,15.514,20.299,310 1160 2750 4360  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,905.3058,0,41.7332,0,131.1086,0,0.461,0,288.3139,0,1.511,,,2472,7930,1116,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,692.6158,138.1844,40.5692,17.7799,10.549,2.3243,2.3569,0.3628,0,0.0777,44.6219,29.7002,15.409,9.5609,7.3779,1.9487,2.3957,0.4089,0,0.1116,14.2036,9.4539,4.9048,3.0433,2.3485,0.6203,0.7626,0.1302,0,0.0355,0.2955,0.5308,0.4722,0.4122,0.4121,0.1302,0.1943,0.0367,0,0.0128,2416,47,6,0,3,0,0,0,0,0
T1_3,km,7/25/22 19:53,0.304,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,267.3937,14.6874,18.2057,280 920 2590 3790  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,505.6992,0,23.7229,0,74.5278,0,0.4691,0,161.0507,0,0.874,,,1420,3665,459,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,369.0967,103.2684,20.535,8.8762,2.3868,0.9699,0.2886,0,0,0,26.6096,21.4785,7.7722,4.8229,1.6542,0.8275,0.2833,0,0,0,8.4701,6.8368,2.474,1.5352,0.5266,0.2634,0.0902,0,0,0,0.1902,0.3706,0.237,0.21,0.0916,0.0563,0.0221,0,0,0,1342,68,7,3,0,0,0,0,0,0
C1_2,km,7/25/22 19:55,0.242,,1.751,0.137,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,156.8135,11.4447,13.7018,670 1200 2470 3360  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,349.8116,0,14.8216,0,46.5636,0,0.4237,0,111.405,0,0.493,,,954,1910,293,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,270.1022,60.2219,14.6711,3.7009,0.8424,0.018,0,0,0,0,19.4135,12.3983,5.5429,1.941,0.5597,0.0166,0,0,0,0,6.1795,3.9465,1.7644,0.6178,0.1781,0.0053,0,0,0,0,0.1368,0.2115,0.1685,0.0816,0.0297,0.0012,0,0,0,0,924,26,3,1,0,0,0,0,0,0
T1_4,km,7/25/22 19:57,0.459,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,246.215,14.8146,16.6198,360 1150 2690 3770  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,304.2662,0,15.266,0,47.9595,0,0.5017,0,96.9001,0,0.602,,,924,1487,158,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,213.0041,63.7858,14.1278,11.5208,1.3131,0.3655,0.0137,0,0,0,15.5248,14.0678,5.1142,6.0693,0.9003,0.3137,0.0132,0,0,0,4.9417,4.4779,1.6279,1.9319,0.2866,0.0999,0.0042,0,0,0,0.1134,0.2592,0.1491,0.2553,0.0493,0.0215,0.001,0,0,0,867,41,10,6,0,0,0,0,0,0
