RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000
C2_2,km,7/25/22 19:59,1.12,,1.761,0.146,,,,ScannerOrCamera,,387.6778,16.9763,22.8364,90 730 2760 4330  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1150.7509,0,63.0412,0,198.0496,0,0.5478,0,366.4812,0,2.712,,,3479,9984,1036,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,780.8316,245.1279,69.0437,32.2317,11.1173,4.3671,4.1219,1.3804,0.9903,0.6275,54.127,52.9645,26.1518,17.2182,7.7525,3.7501,4.1439,1.6136,1.3228,0.9587,17.2292,16.8591,8.3244,5.4807,2.4677,1.1937,1.319,0.5136,0.4211,0.3052,0.3834,0.9501,0.7988,0.7372,0.4321,0.2569,0.3321,0.1503,0.1408,0.1171,3338,117,13,9,1,0,0,0,1,0
C3_4,km,7/25/22 20:03,0.956,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,360.9776,15.8954,22.7095,190 680 2690 4260  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1456.2387,0,66.013,0,207.3861,0,0.4533,0,463.7703,0,2.35,,,3379,10929,1511,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1082.8254,296.8486,53.1869,15.4667,4.7489,1.6289,0.5501,0.2881,0.1158,0.1576,77.4067,62.8371,20.0479,8.2441,3.2818,1.4004,0.5509,0.3351,0.1545,0.2323,24.6393,20.0017,6.3815,2.6242,1.0446,0.4457,0.1754,0.1067,0.0492,0.0739,0.5514,1.1033,0.609,0.3521,0.1811,0.0961,0.044,0.031,0.0164,0.0273,3234,135,8,2,0,0,0,0,0,0
C3_2,km,7/25/22 20:05,0.721,,,,,,,ScannerOrCamera,,276.9727,14.751,18.7766,210 810 2530 3770  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,655.6966,0,33.1104,0,104.0195,0,0.505,0,208.8206,0,1.313,,,1847,4467,524,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,463.5084,134.112,39.4942,12.8195,3.7643,0.9879,0.7031,0.0328,0.0725,0,33.6723,29.0949,15.339,6.7525,2.6287,0.8655,0.6917,0.037,0.0999,0,10.7182,9.2612,4.8826,2.1494,0.8367,0.2755,0.2202,0.0118,0.0318,0,0.2424,0.5233,0.4803,0.285,0.1468,0.0605,0.0542,0.0033,0.011,0,1743,94,5,3,1,1,0,0,0,0
C2_4,km,7/25/22 20:07,0.807,,,,,,,ScannerOrCamera,,344.0096,15.4504,22.2655,170 640 2600 4150  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1102.5466,0,54.394,0,170.8838,0,0.4933,0,351.1295,0,2.108,,,2540,8486,1073,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,785.4104,232.4338,61.8975,15.1976,5.128,1.2364,0.4421,0.068,0.0613,0,56.8744,50.4005,23.1139,8.1368,3.5629,1.032,0.4117,0.0892,0.0787,0,18.1037,16.043,7.3574,2.59,1.1341,0.3285,0.131,0.0284,0.0251,0,0.4072,0.9068,0.6951,0.3489,0.1979,0.0687,0.0304,0.0093,0.0081,0,2395,125,15,5,0,0,0,0,0,0
T1_1,km,7/25/22 20:09,0.958,,,,,,,ScannerOrCamera,,331.8574,15.3868,21.5677,250 810 2670 4210  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1519.459,0,76.3753,0,239.9402,0,0.5026,0,483.9041,0,3.015,,,3587,13481,1656,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1086.5684,313.3892,73.4092,28.826,8.6666,3.3672,1.3037,1.6268,1.2013,0.3411,78.267,67.4375,27.9125,15.4087,6.0923,2.8522,1.3246,1.877,1.6046,0.5492,24.9131,21.466,8.8848,4.9047,1.9392,0.9079,0.4216,0.5975,0.5108,0.1748,0.5648,1.2043,0.8553,0.6605,0.3424,0.1926,0.1074,0.1725,0.1708,0.0713,3410,155,19,2,1,0,0,0,0,0
C1_3,km,7/25/22 20:11,1.16,,,,,,,ScannerOrCamera,,316.773,14.6874,21.5677,190 770 2500 4170  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1173.788,0,59.6688,0,187.4552,0,0.5083,0,373.8178,0,2.382,,,2718,10040,1269,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,844.2364,211.604,64.0725,34.4705,10.2251,2.4424,2.2658,1.5729,1.5398,0.7122,55.8636,45.4573,24.7026,18.3869,7.1716,2.1067,2.2523,1.8162,2.0273,1.2008,17.7819,14.4695,7.8631,5.8527,2.2828,0.6706,0.7169,0.5781,0.6453,0.3822,0.3808,0.8095,0.7678,0.7864,0.4021,0.1449,0.1782,0.1672,0.2126,0.1633,2639,65,8,4,1,0,0,1,0,0
T2_2,km,7/25/22 20:13,0.986,,1.761,0.115,,,,ScannerOrCamera,,262.2633,14.3059,18.3325,330 900 2580 3790  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,914.7647,0,60.3429,0,189.573,0,0.6597,0,291.3263,0,3.126,,,2673,7683,577,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,568.357,216.4362,65.9919,31.4646,14.2534,8.2515,3.8636,2.1673,1.2494,2.3471,41.1144,47.1914,24.9975,16.9294,10.0301,7.1166,3.9319,2.5347,1.6952,3.9362,13.0871,15.0215,7.957,5.3888,3.1927,2.2653,1.2516,0.8068,0.5396,1.2529,0.2974,0.8534,0.7636,0.7306,0.564,0.4896,0.319,0.2362,0.1831,0.5335,2536,109,14,8,0,5,0,0,0,1
C4_4,km,7/25/22 20:15,0.899,,,,,,,ScannerOrCamera,,252.7247,15.3232,16.4929,180 1010 2590 3610  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,1109.3726,0,57.1288,0,179.4753,0,0.515,0,353.3034,0,2.311,,,3266,10597,1229,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,781.8668,230.3278,55.6884,23.6568,8.6567,3.7973,2.6662,1.3475,0.264,0.3246,53.8217,49.9059,21.0893,12.636,6.0868,3.2146,2.6756,1.5521,0.3828,0.4804,17.132,15.8856,6.7129,4.0222,1.9375,1.0232,0.8517,0.4941,0.1218,0.1529,0.3779,0.8996,0.644,0.5412,0.3421,0.2169,0.2142,0.1424,0.0439,0.0566,3134,109,13,7,3,0,0,0,0,0
T2_1,KM,7/25/22 20:20,1.753,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,324.662,14.8781,21.8214,260 590 2600 4030  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,869.1528,0,53.7304,0,168.7991,0,0.6182,0,276.8002,0,2.609,,,2088,5579,492,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,557.1959,195.9893,50.9487,29.3414,25.4964,6.8069,2.3533,0.5722,0.0248,0.0201,42.8338,41.7432,19.2873,16.145,17.7718,5.8026,2.3555,0.6795,0.0313,0.0285,13.6344,13.2873,6.1393,5.1391,5.6569,1.847,0.7498,0.2163,0.01,0.0091,0.3169,0.738,0.5882,0.7118,0.9897,0.3947,0.188,0.0642,0.0031,0.0032,1937,119,19,7,3,2,1,0,0,0
C3_1,KM,7/25/22 20:22,0.943,,,,,,,ScannerOrCamera,,296.3324,14.2423,20.8065,350 520 2590 3800  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,990.8107,0,47.2472,0,148.4315,0,0.4769,0,315.5448,0,1.77,,,2093,6444,900,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,719.3764,198.8493,50.5023,14.939,4.2731,1.1311,0.9897,0.2136,0.0206,0,51.5539,42.7142,18.9872,7.9414,2.954,0.9873,0.9991,0.2548,0.026,0,16.4101,13.5964,6.0438,2.5278,0.9403,0.3143,0.318,0.0811,0.0083,0,0.3629,0.7611,0.5752,0.3382,0.163,0.0687,0.0803,0.0243,0.0026,0,1993,87,10,3,0,0,0,0,0,0
C4_1,KM,7/25/22 20:24,1.918,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,382.9347,16.4041,23.3438,190 500 2770 4180  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1012.15,0,69.2462,0,217.5435,0,0.6841,0,322.3408,0,3.721,,,1809,7289,625,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,595.031,261.1089,78.7952,38.5131,17.5484,9.3327,5.8849,2.9773,1.6928,0.9116,46.5349,56.6389,30.0899,20.8262,12.3523,8.0233,5.9586,3.4301,2.251,1.3958,14.8125,18.0287,9.5779,6.6292,3.9319,2.5539,1.8967,1.0918,0.7165,0.4443,0.3542,1.0197,0.9255,0.9027,0.6947,0.5501,0.481,0.315,0.2384,0.1703,1658,115,26,9,0,1,0,0,0,0
T3_1,KM,7/25/22 20:26,1.164,,,,,,,ScannerOrCamera,,389.2589,16.2769,23.9148,180 400 2740 4170  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,1006.0301,0,62.6975,0,196.97,0,0.6232,0,320.3917,0,3.069,,,2619,7694,693,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,674.1378,200.0345,61.7772,33.5721,15.1564,9.5419,4.29,2.2147,1.6269,3.2494,50.1791,43.2156,23.3645,18.1536,10.6109,8.2066,4.3425,2.6118,2.1904,5.3018,15.9725,13.756,7.4371,5.7785,3.3775,2.6122,1.3823,0.8314,0.6972,1.6876,0.3686,0.7772,0.7122,0.7872,0.5934,0.5627,0.3504,0.2455,0.235,0.6963,2433,146,22,8,3,6,1,0,0,0
T4_3,KM,7/25/22 20:29,0.62,,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,201.3489,13.8608,14.5265,500 1030 2680 3320  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,532.1807,0,29.9966,0,94.237,0,0.5637,0,169.4843,0,1.328,,,1231,3755,374,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,360.5748,109.0889,37.2579,12.8906,5.5738,3.661,1.3233,0.9921,0.4731,0.2614,24.7955,23.7002,14.0392,6.8993,3.9495,3.1367,1.3242,1.1809,0.614,0.3922,7.8927,7.544,4.4688,2.1961,1.2572,0.9984,0.4215,0.3759,0.1954,0.1248,0.1732,0.4269,0.4257,0.2958,0.2236,0.2144,0.1057,0.112,0.0634,0.0468,1157,66,6,1,1,0,0,0,0,0
