Label ,Type,Plot,Location,Date collected,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
C4_3,Control,4,3,2022-06-26,KM,6/27/22 16:32,0.926,0.90285,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,251.7728,13.7337,18.3325,190 690 2350 3580  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,795.7031,0,44.2595,0,139.0453,0,0.5562,0,253.4086,0,1.934,,,1330,5761,691,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,521.8191,181.3581,61.133,19.2052,8.1265,1.6664,1.3641,0.4653,0.1168,0.0248,38.7276,38.5135,23.4079,10.3094,5.6542,1.4083,1.3898,0.5367,0.1526,0.0385,12.3274,12.2592,7.451,3.2816,1.7998,0.4483,0.4424,0.1708,0.0486,0.0122,0.2828,0.6794,0.7216,0.4436,0.3146,0.0949,0.1129,0.0493,0.0159,0.0047,1251,56,19,2,2,0,0,0,0,0,
C1_3,Control,1,3,2022-06-26,KM,6/27/22 16:35,0.659,0.642525,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,220.2649,14.1152,15.6049,200 1330 2420 3790  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,991.9798,0,46.7852,0,146.9801,0,0.4716,0,315.9171,0,1.733,,,2073,8919,1305,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,738.924,173.6218,47.3304,17.8306,7.358,3.5751,2.1948,0.3148,0.3796,0.1577,48.0821,37.5223,17.6934,9.5896,5.1195,3.0165,2.217,0.357,0.4999,0.3502,15.305,11.9437,5.632,3.0525,1.6296,0.9602,0.7057,0.1136,0.1591,0.1115,0.3212,0.6728,0.5324,0.4136,0.2845,0.2029,0.1786,0.0322,0.0524,0.0582,2023,41,4,3,2,0,0,0,0,0,
C4_1,Control,4,1,2022-06-26,KM,6/27/22 16:37,0.558,0.54405,,,,,,ScannerOrCamera,,189.3862,10.9361,17.3176,540 940 2260 3670  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,667.4094,0,32.9934,0,103.652,0,0.4944,0,212.5508,0,1.281,,,1059,5130,696,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,477.3389,135.9101,34.5619,11.3365,5.716,1.5783,0.488,0.2803,0.0756,0,34.6478,29.256,12.9556,6.0406,3.9907,1.3649,0.5109,0.3248,0.1047,0,11.0287,9.3125,4.1239,1.9228,1.2703,0.4344,0.1626,0.1034,0.0333,0,0.2479,0.5228,0.3918,0.2578,0.2226,0.0942,0.0426,0.03,0.0115,0,1012,40,7,0,0,0,0,0,0,0,
C1_2,Control,1,2,2022-06-26,KM,6/27/22 16:39,0.545,0.531375,1.773,0.12,1.776,0.003,0.975,ScannerOrCamera,,181.6786,10.491,17.3176,420 810 2070 3540  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,756.5868,0,39.9641,0,125.5509,0,0.5282,0,240.9512,0,1.658,,,1430,7608,1048,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,525.0569,155.1712,40.7113,20.4698,8.5428,3.8264,1.2564,0.4554,0.7323,0.3447,35.4762,33.7206,15.4603,11.0994,5.9612,3.2944,1.2395,0.5413,0.9826,0.5261,11.2924,10.7336,4.9212,3.5331,1.8975,1.0486,0.3946,0.1723,0.3128,0.1675,0.2461,0.6086,0.4731,0.4825,0.3325,0.2261,0.0975,0.0514,0.105,0.0643,1389,38,3,0,0,0,0,0,0,0,
T1_3,Treatment,1,3,2022-06-26,KM,6/27/22 16:42,0.318,0.31005,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,178.4238,12.8435,13.8921,470 1140 2490 3330  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,473.2729,0,23.8506,0,74.929,0,0.504,0,150.7239,0,0.944,,,1032,3296,357,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,341.5477,93.1287,26.657,8.37,2.2718,0.4955,0.5717,0,0.0047,0.1227,26.1368,19.9163,10.2268,4.4639,1.5791,0.4241,0.5813,0,0.1922,0.1975,8.3196,6.3395,3.2553,1.4209,0.5026,0.135,0.185,0,0.0612,0.0629,0.1922,0.3546,0.3158,0.1907,0.0876,0.029,0.0471,0,0.0197,0.0254,986,40,6,0,0,0,0,0,0,0,
C1_1,Control,1,1,2022-06-26,KM,6/27/22 16:44,0.609,0.593775,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,194.8916,11.254,17.3176,450 1110 2220 3840  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,973.6919,0,46.8993,0,147.3386,0,0.4817,0,310.093,0,1.774,,,1761,8135,1150,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,706.7538,196.8962,46.0133,15.2825,5.0716,2.3861,0.4389,0.5562,0.0931,0.0672,50.6829,42.4781,17.2329,8.1889,3.4907,2.0405,0.4186,0.6481,0.1246,0.1017,16.1329,13.5212,5.4854,2.6066,1.1111,0.6495,0.1333,0.2063,0.0397,0.0324,0.3578,0.7606,0.5197,0.3517,0.192,0.1391,0.0317,0.0602,0.0133,0.0123,1713,43,5,0,0,0,0,0,0,0,
T1_4,Treatment,1,4,2022-06-26,KM,6/27/22 16:51,0.849,0.827775,,,,,,ScannerOrCamera,,259.5409,14.3059,18.1422,340 650 2590 3510  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,944.9174,0,53.3509,0,167.6068,0,0.5646,0,300.9291,0,2.366,,,1749,7441,833,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,610.9505,233.0918,63.7356,22.1301,8.921,2.8388,0.9725,0.6758,0.8354,0.4612,47.6106,50.6114,24.0124,11.8317,6.2615,2.4507,0.9816,0.7802,1.1,0.7134,15.1549,16.1101,7.6434,3.7661,1.9931,0.7801,0.3125,0.2483,0.3501,0.2271,0.358,0.912,0.7288,0.507,0.3511,0.1688,0.0791,0.0717,0.1154,0.0881,1668,72,6,2,0,1,0,0,0,0,
C2_4,Control,2,4,2022-06-26,KM,6/27/22 16:54,1.241,1.209975,,,,,,ScannerOrCamera,,268.6036,15.0689,17.8251,110 720 2480 3530  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-135,Smooth Off Area Off LWRatio Off,Off,3.14,1062.7946,0,71.533,0,224.7276,0,0.6731,0,338.4696,0,3.781,,,1806,10188,914,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,664.8297,244.945,72.3292,37.5019,18.0441,7.6262,5.8718,4.3741,3.1461,3.5996,50.4029,53.1838,27.4839,20.2056,12.6649,6.563,5.9346,5.1417,4.1477,5.9261,16.0437,16.9289,8.7484,6.4316,4.0314,2.0891,1.8891,1.6366,1.3203,1.8863,0.3691,0.9595,0.8417,0.8728,0.7099,0.4507,0.4782,0.4814,0.4357,0.7868,1712,81,9,4,0,0,0,0,0,0,
T4_4,Treatment,4,4,2022-06-26,KM,6/27/22 16:56,0.819,0.798525,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,262.2472,16.3405,16.0489,250 1030 2820 3560  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,931.9779,0,49.483,0,155.4555,0,0.5309,0,296.8083,0,2.063,,,1763,7585,888,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,668.1616,167.2896,50.1396,23.5003,12.7282,4.9762,1.5919,1.7349,0.9923,0.7189,46.4139,36.4342,19.1522,12.8226,8.9108,4.2635,1.6177,2.0562,1.3313,1.1483,14.774,11.5974,6.0963,4.0816,2.8364,1.3571,0.5149,0.6545,0.4238,0.3655,0.3235,0.6591,0.5892,0.561,0.4982,0.2914,0.1311,0.1941,0.1423,0.1476,1694,56,12,1,0,0,0,0,0,0,
C3_4,Control,3,4,2022-06-26,KM,6/27/22 16:58,0.877,0.855075,,,,,,ScannerOrCamera,,340.2466,14.1152,24.1051,280 330 2500 4130  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1240.1068,0,62.3517,0,195.8837,0,0.5028,0,394.9385,0,2.462,,,2606,10581,1306,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,891.7149,249.2665,58.9381,23.3047,8.8937,4.3763,1.5093,0.9642,0.0733,0.67,64.877,53.1293,22.0647,12.431,6.1916,3.7696,1.5603,1.119,0.0929,1.0139,20.651,16.9116,7.0234,3.9569,1.9709,1.1999,0.4967,0.3562,0.0296,0.3227,0.467,0.9393,0.6655,0.5315,0.3443,0.259,0.1285,0.1034,0.0093,0.1224,2469,121,15,1,0,0,0,0,0,0,
C1_4,Control,1,4,2022-06-26,KM,6/27/22 17:00,0.735,0.716625,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,190.6284,13.4158,14.2093,450 780 2560 3020  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,789.3777,0,40.5028,0,127.2434,0,0.5131,0,251.3942,0,1.632,,,1612,6945,984,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,552.2134,155.56,50.4444,20.2129,6.5679,2.7352,0.896,0.2789,0.2815,0.0137,38.0802,33.3448,19.2229,10.9606,4.6376,2.3358,0.8903,0.3236,0.3901,0.0199,12.1213,10.614,6.1188,3.4889,1.4762,0.7435,0.2834,0.103,0.1242,0.0063,0.2669,0.5936,0.5897,0.4763,0.2618,0.1591,0.0705,0.03,0.0429,0.0023,1571,38,3,0,0,0,0,0,0,0,
T2_4,Treatment,2,4,2022-06-26,KM,6/27/22 17:03,1.475,1.438125,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,370.4477,16.4041,22.5826,240 350 2820 3910  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-135,Smooth Off Area Off LWRatio Off,Off,3.14,1087.9192,0,74.8631,0,235.1894,0,0.6881,0,346.4711,0,4.046,,,1964,9794,931,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,682.1565,235.4908,75.3713,38.5577,24.4313,13.6266,7.4887,5.808,1.378,3.4554,50.6597,51.3956,28.8284,20.7119,17.1381,11.7658,7.7371,6.8835,1.7923,6.0643,16.1255,16.3597,9.1764,6.5928,5.4552,3.7452,2.4628,2.1911,0.5705,1.9303,0.3718,0.9322,0.8894,0.8916,0.9606,0.8106,0.6373,0.6503,0.1858,0.8612,1868,74,13,8,1,0,0,0,0,0,
T2_1,Treatment,2,1,2022-06-26,KM,7/11/22 15:25,0.589,0.574275,,,,,,T2_1_6_26.TIF,Regent Instruments Inc. WinRHIZO Reg 2017a,155.5487,13.3267,11.6719,368 1264 2464 3104 0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,404.996,0,22.448,0,70.5224,0,0.5543,0,128.9796,0,0.977,,,770,2549,262,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,255.7921,104.5103,33.2297,8.7198,1.6386,0.4961,0.3918,0.0184,0.1344,0.0259,19.5057,23.1702,12.3237,4.5958,1.1167,0.4191,0.3978,0.0218,0.1733,0.0373,6.2089,7.3753,3.9228,1.4629,0.3555,0.1334,0.1266,0.0069,0.0552,0.0119,0.1457,0.4285,0.368,0.1939,0.0607,0.0282,0.0322,0.0021,0.0178,0.0043,734,30,4,1,0,1,0,0,0,0,
T2_2,Treatment,2,2,2022-06-26,KM,7/11/22 15:26,0.651,0.634725,1.755,0.128,1.759,0.004,0.96875,T2_2_6_26.TIF,Regent Instruments Inc. WinRHIZO Reg 2017a,204.7636,11.4956,17.8124,440 952 2248 3760 0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,613.6193,0,31.366,0,98.539,0,0.5112,0,195.4202,0,1.259,,,1246,4306,497,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,413.355,150.8829,33.9412,10.9557,2.678,0.8716,0.7339,0.0994,0,0,30.6935,32.6862,12.7397,5.8516,1.8669,0.7554,0.715,0.1112,0,0,9.77,10.4043,4.0552,1.8626,0.5942,0.2404,0.2276,0.0354,0,0,0.2247,0.5882,0.3854,0.2504,0.104,0.0522,0.0555,0.0099,0,0,1197,43,6,0,0,0,0,0,0,0,
