Label ,Type,Plot,Location,Date collected,Operator,Analysis Date Time,Dry_root_weight_g_measured,Dry_root_adjusted_g,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
C4_2,Control,4,2,2022-06-26,KM,6/27/22 16:01,0.517,0.504075,1.751,0.097,1.754,0.003,0.969072165,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,212.279,10.9361,19.4109,800 730 2520 3790  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,499.5472,0,27.0322,0,84.9242,0,0.5411,0,159.0915,0,1.149,,,1037,3471,391,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,347.1787,102.7839,30.4929,12.2894,3.3775,1.7584,0.9415,0.473,0.1996,0,25.9951,22.0715,11.5757,6.5492,2.3889,1.4953,0.9552,0.55,0.8102,0,8.2745,7.0256,3.6847,2.0847,0.7604,0.476,0.3041,0.1751,0.2579,0,0.1882,0.3937,0.3538,0.2798,0.1349,0.1015,0.0773,0.051,0.0871,0,971,50,9,5,1,1,0,0,0,0,
T1_1,Treatment,1,1,2022-06-26,KM,6/27/22 16:03,0.193,0.188175,,,,,,ScannerOrCamera,,70.9412,7.8206,9.0711,890 1570 2120 3000  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,261.0048,0,10.3986,0,32.6681,0,0.3984,0,83.1225,0,0.325,,,590,1725,265,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,203.0637,48.028,7.6163,1.6887,0.4749,0.1015,0,0,0,0,13.284,10.0415,2.899,0.8975,0.323,0.0907,0,0,0,0,4.2284,3.1963,0.9228,0.2857,0.1028,0.0289,0,0,0,0,0.0893,0.1737,0.0891,0.0383,0.0175,0.0065,0,0,0,0,579,9,2,0,0,0,0,0,0,0,
T4_3,Treatment,4,3,2022-06-26,KM,6/27/22 16:05,0.432,0.4212,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,180.3597,11.0632,16.3026,560 920 2300 3490  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,633.2796,0,25.1102,0,78.8862,0,0.3965,0,201.6814,0,0.782,,,1168,4101,728,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,496.7202,117.6376,15.1431,3.0642,0.4828,0.073,0,0,0,0,35.1885,24.4027,5.6247,1.5909,0.3275,0.0621,0,0,0,0,11.2008,7.7676,1.7904,0.5064,0.1043,0.0198,0,0,0,0,0.2479,0.4196,0.1688,0.0661,0.0178,0.0042,0,0,0,0,1149,19,0,0,0,0,0,0,0,0,
C2_2,Control,2,2,2022-06-26,KM,6/27/22 16:08,0.893,0.870675,1.768,0.107,1.771,0.003,0.971962617,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,354.2864,14.8146,23.9148,410 470 2740 4240  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1362.1388,0,66.0766,0,207.5858,0,0.4851,0,433.8022,0,2.517,,,2566,10539,1432,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,1000.3768,255.5095,66.789,23.4103,10.0396,3.4294,1.2361,0.3711,0.0561,0.0883,71.3141,54.8042,25.316,12.5627,7.1331,2.9284,1.2434,0.422,0.0762,0.1458,22.7,17.4447,8.0583,3.9988,2.2705,0.9321,0.3958,0.1343,0.0243,0.0464,0.5047,0.9762,0.7735,0.5408,0.4049,0.1994,0.0997,0.0382,0.0082,0.0193,2481,72,10,3,0,0,0,0,0,0,
T1_2,Treatment,1,2,2022-06-26,KM,6/27/22 16:11,0.627,0.611325,1.763,0.142,1.768,0.005,0.964788732,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,213.4003,11.7626,18.1422,440 490 2290 3350  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-143,Smooth Off Area Off LWRatio Off,Off,3.14,748.7037,0,36.3209,0,114.1054,0,0.4851,0,238.4407,0,1.384,,,1626,5111,669,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,527.8671,168.9349,38.609,8.9354,2.8073,0.8317,0.4105,0.0206,0,0,38.8198,36.5,14.3834,4.7321,1.9832,0.7048,0.4225,0.0256,0,0,12.3567,11.6183,4.5784,1.5063,0.6313,0.2244,0.1345,0.0081,0,0,0.2827,0.6552,0.4317,0.2008,0.1119,0.0476,0.0347,0.0025,0,0,1560,61,5,0,0,0,0,0,0,0,
C3_1,Control,3,1,2022-06-26,KM,6/27/22 16:13,0.732,0.7137,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,279.3362,15.1325,18.4594,160 610 2540 3520  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,926.8007,0,47.8657,0,150.3746,0,0.5165,0,295.1595,0,1.942,,,1846,7296,843,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,641.6458,208.2128,47.5835,20.3942,6.3713,1.5246,0.7421,0.001,0.0952,0.0201,46.7063,44.6073,17.8919,10.8882,4.4832,1.3086,0.7418,0.0055,0.125,0.0311,14.8671,14.1989,5.6952,3.4658,1.427,0.4166,0.2361,0.0017,0.0398,0.0099,0.3373,0.7936,0.542,0.4658,0.2522,0.0896,0.0592,0.0009,0.0131,0.0038,1751,78,13,3,1,0,0,0,0,0,
T2_3,Treatment,2,3,2022-06-26,KM,6/27/22 16:21,0.912,0.8892,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,277.5575,12.9071,21.5042,500 590 2530 3980  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,807.8572,0,49.5089,0,155.5369,0,0.6128,0,257.2794,0,2.383,,,1555,6402,568,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,502.6888,198.1999,63.2754,23.9392,9.8192,4.5628,2.6357,1.2517,0.753,0.5746,37.7275,43.6771,23.8579,12.845,6.8516,3.9239,2.6143,1.4863,0.9626,0.8908,12.009,13.9029,7.5942,4.0887,2.1809,1.249,0.8322,0.4731,0.3064,0.2835,0.2771,0.8004,0.7253,0.5523,0.3821,0.2692,0.2067,0.1405,0.0979,0.1098,1476,69,4,4,0,0,0,1,0,1,
C3_3,Control,3,3,2022-06-26,KM,6/27/22 16:25,1.051,1.024725,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,321.8872,14.751,21.8214,350 660 2670 4100  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,1312.8927,0,58.4671,0,183.6798,0,0.4453,0,418.1187,0,2.045,,,2499,9987,1492,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,974.3369,266.5527,54.6307,12.5838,3.3252,0.6864,0.0159,0.0069,0,0,68.6938,57.1353,20.4804,6.6986,2.2716,0.5943,0.0152,0.0076,0,0,21.8659,18.1867,6.5191,2.1322,0.7231,0.1892,0.0048,0.0024,0,0,0.4836,1.0149,0.6185,0.2857,0.1239,0.0411,0.0012,0.0007,0,0,2423,69,5,2,0,0,0,0,0,0,
C3_2,Control,3,2,2022-06-26,KM,6/27/22 16:28,0.582,0.56745,1.735,0.133,1.738,0.003,0.977443609,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,249.0382,15.6411,15.922,190 1070 2650 3580  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-142,Smooth Off Area Off LWRatio Off,Off,3.14,607.3894,0,29.8202,0,93.683,0,0.491,0,193.4361,0,1.15,,,1198,3845,501,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,439.7905,121.8052,27.5554,11.8796,3.127,1.8982,0.6275,0.4959,0.1312,0.0455,32.3848,25.5074,10.6001,6.2464,2.2233,1.5885,0.6205,0.5673,0.1729,0.0686,10.3084,8.1193,3.3741,1.9883,0.7077,0.5056,0.1975,0.1806,0.0551,0.0218,0.2329,0.4417,0.3284,0.263,0.1265,0.106,0.0489,0.0517,0.0182,0.0083,1144,48,4,1,1,0,0,0,0,0,
T3_1,Treatment,3,1,2022-06-26,KM,6/27/22 16:30,0.899,0.876525,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428 ,250.5306,13.4793,18.5863,190 900 2310 3830  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,974.5166,0,48.1271,0,151.1959,0,0.4939,0,310.3556,0,1.867,,,2121,7854,957,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000 ,686.6467,207.8455,51.9856,19.0853,5.5224,1.9007,0.3793,0.462,0.0434,0,49.247,45.2984,19.3576,10.213,3.8852,1.6339,0.3673,0.5296,0.056,0,15.6758,14.4189,6.1617,3.2509,1.2367,0.5201,0.1169,0.1686,0.0178,0,0.3545,0.8209,0.581,0.4378,0.2186,0.1121,0.0283,0.0483,0.0058,0,2069,51,1,0,0,0,0,0,0,0,
