RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
C2_2,KM,7/18/2022 12:47:34,1.037,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,327.0215,14.6874,22.2655,230 550 2540 4060  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,1422.3609,0,73.9881,0,232.4403,0,0.5202,0,452.9812,0,3.023,,,2580,12098,1446,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,1009.396,288.8446,75.5361,30.4768,11.8693,3.6111,1.5985,0.4039,0.076,0.0397,75.428,62.0315,28.4876,16.4085,8.325,3.1103,1.5971,0.4683,0.1054,0.0571,24.0095,19.7453,9.0679,5.223,2.6499,0.9901,0.5084,0.1491,0.0335,0.0182,0.5464,1.107,0.8655,0.7082,0.4665,0.2137,0.1273,0.0433,0.0116,0.0065,2458,104,12,6,0,0,0,0,0,0,
T1_4,KM,7/18/2022 12:49:45,0.068,,,,,,ScannerOrCamera,,78.439,9.0922,8.6271,730 1380 2160 2740  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-148,Smooth Off Area Off LWRatio Off,Off,3.14,152.2267,0,4.8154,0,15.1281,0,0.3163,0,48.4798,0,0.12,,,474,853,133,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,131.0989,18.8942,1.6728,0.4526,0.0534,0,0,0,0,0,8.1598,3.7115,0.6156,0.2375,0.0353,0,0,0,0,0,2.5973,1.1814,0.1959,0.0756,0.0112,0,0,0,0,0,0.0518,0.0602,0.0182,0.01,0.0019,0,0,0,0,0,460,12,2,0,0,0,0,0,0,0,
C3_3,KM,7/18/2022 12:54:57,1.102,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,280.1509,14.6238,19.1572,320 670 2620 3690  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1117.8503,0,56.6983,0,178.123,0,0.5072,0,356.0033,0,2.259,,,2557,8782,1068,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,783.2046,234.0859,67.4524,21.2389,6.73,2.9278,0.9374,0.7969,0.1142,0.0455,54.9243,50.4689,25.3694,11.3976,4.766,2.4909,0.9528,0.9238,0.1503,0.0658,17.483,16.0647,8.0753,3.628,1.5171,0.7929,0.3033,0.294,0.0478,0.0209,0.386,0.9039,0.7688,0.49,0.2696,0.169,0.0772,0.0853,0.0157,0.0076,2454,81,17,4,1,0,0,0,0,0,
C1_4,KM,7/18/2022 13:23:44,0.879,,,,,,ScannerOrCamera,,226.2664,11.8898,19.0303,560 810 2430 3810  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,990.8746,0,50.3187,0,158.0808,0,0.5078,0,315.5652,0,2.007,,,1918,8460,1225,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,707.6772,191.6562,55.0694,20.6039,8.9018,2.9582,1.208,0.9421,0.4606,0.8251,48.3921,40.8407,20.7379,11.0703,6.2885,2.5373,1.231,1.1182,0.6117,1.3318,15.4037,13,6.6011,3.5238,2.0017,0.8076,0.3918,0.3559,0.1947,0.4239,0.3355,0.7225,0.6292,0.4769,0.3548,0.1736,0.0999,0.1058,0.0647,0.1737,1852,50,10,6,0,0,0,0,0,0,
T4_3,KM,7/18/2022 13:26:49,0.52,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,159.9111,10.6817,14.9705,640 1170 2320 3530  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,432.7853,0,23.4442,0,73.6522,0,0.5417,0,137.8297,0,0.997,,,971,2244,236,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,279.9413,112.2167,29.3971,7.1412,1.689,1.3753,0.3188,0.122,0.0137,0.3806,20.7333,24.5742,11.0696,3.8178,1.2175,1.1721,0.341,0.1351,0.0181,0.5933,6.5996,7.8222,3.5236,1.2152,0.3875,0.3731,0.1085,0.043,0.0058,0.1889,0.1495,0.4462,0.3354,0.1636,0.07,0.0796,0.029,0.0119,0.0019,0.0739,910,47,11,2,1,0,0,0,0,0,
C2_1,KM,7/18/2022 13:29:52,1.411,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,372.0933,15.7683,23.5976,290 220 2770 3940  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1183.9386,0,82.4885,0,259.1452,0,0.6967,0,377.0505,0,4.514,,,2210,9915,877,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,735.1566,265.0963,90.6315,41.5955,21.7686,9.4633,8.667,3.8594,2.1585,5.0656,55.3817,57.4737,34.5659,22.4032,15.4072,8.0855,8.787,4.4775,2.9115,9.0086,17.6286,18.2945,11.0027,7.1312,4.9043,2.5737,2.797,1.4252,0.9267,2.8675,0.4074,1.0353,1.0621,0.9675,0.8712,0.5509,0.7103,0.414,0.3129,1.3389,2053,120,22,11,2,1,1,0,0,0,
C2_4,KM,7/18/2022 13:32:36,1.3,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,340.2063,15.3232,22.202,210 420 2620 3920  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1329.8787,0,73.3555,0,230.453,0,0.5516,0,423.5282,0,3.178,,,2905,10856,1260,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,920.6742,265.8101,87.5938,29.8332,13.3506,6.1518,2.6844,1.3561,0.9672,0.4579,68.0039,57.4761,33.0465,16.0922,9.3325,5.2853,2.7893,1.5712,1.3289,0.7127,21.6463,18.2952,10.519,5.1223,2.9706,1.6824,0.8879,0.5001,0.423,0.2269,0.4909,1.0337,1.0046,0.6958,0.5211,0.3623,0.2309,0.145,0.1453,0.0886,2785,110,8,1,1,0,0,0,0,0,
T4_1,KM,7/18/2022 13:35:16,1.132,,,,,,ScannerOrCamera,,344.9897,15.4504,22.3289,290 160 2720 3680  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,1123.4482,0,60.0875,0,188.7705,0,0.5348,0,357.7861,0,2.524,,,2095,8933,1179,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,780.7725,228.3679,74.8511,24.359,9.0385,3.3284,1.3434,0.4229,0.2327,0.2802,57.0482,49.8939,28.3153,13.0504,6.2826,2.8952,1.337,0.4949,0.3094,0.4124,18.159,15.8817,9.013,4.1541,1.9998,0.9216,0.4256,0.1575,0.0985,0.1313,0.4066,0.9056,0.863,0.5602,0.3491,0.2008,0.106,0.0462,0.0328,0.0484,2020,66,8,1,0,0,0,0,0,0,
T3_1,KM,7/18/2022 13:37:51,1.386,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,340.0893,15.4504,22.0117,160 440 2590 3910  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1099.2528,0,68.2709,0,214.4795,0,0.6211,0,350.0805,0,3.33,,,2106,8108,748,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,711.1038,246.7027,74.3756,37.5678,12.4588,5.8241,5.8985,2.3785,1.7613,0.4695,55.1259,53.8042,27.9285,20.1112,8.7303,5.0096,5.9854,2.8233,2.3262,0.7628,17.5471,17.1264,8.8899,6.4016,2.7789,1.5946,1.9052,0.8987,0.7404,0.2428,0.4097,0.9742,0.8445,0.8628,0.4889,0.3438,0.4843,0.267,0.2448,0.0989,1972,115,13,3,2,1,0,0,0,0,
T2_1,KM,7/18/2022 13:40:31,0.754,,,,,,ScannerOrCamera,,216.8891,15.196,14.2727,220 850 2610 3100  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,735.9601,0,41.3484,0,129.8999,0,0.5618,0,234.3822,0,1.825,,,1462,5753,665,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,502.308,154.8087,42.1158,19.8384,8.0387,4.9534,1.5792,1.5102,0.36,0.0072,36.7258,33.6643,16.0535,10.7217,5.6285,4.2937,1.5793,1.7705,0.482,0.0549,11.6902,10.7157,5.11,3.4128,1.7916,1.3667,0.5027,0.5636,0.1534,0.0175,0.2654,0.6079,0.4933,0.4648,0.3148,0.297,0.1261,0.1653,0.0515,0.0117,1404,45,8,4,1,0,0,0,0,0,
T2_4,KM,7/18/2022 13:43:21,1.561,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,280.7962,15.0053,18.7131,310 920 2670 3870  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-135,Smooth Off Area Off LWRatio Off,Off,3.14,1245.914,0,84.28,0,264.7735,0,0.6765,0,396.7879,0,4.478,,,1976,11701,1167,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,745.9371,297.3204,104.3045,49.3254,25.5152,10.8123,6.0798,2.3483,2.8083,1.2815,55.6645,64.6702,39.7589,26.489,17.9238,9.2781,6.1685,2.7746,3.7245,2.2158,17.7186,20.5852,12.6556,8.4317,5.7053,2.9533,1.9635,0.8832,1.1855,0.7053,0.4094,1.1682,1.2208,1.1405,1.0063,0.6352,0.499,0.2614,0.3935,0.306,1858,102,13,2,0,1,0,0,0,0,
C3_1,KM,7/18/2022 13:45:39,0.993,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,249.9457,14.4331,17.3176,350 790 2620 3520  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,1159.4577,0,57.4301,0,180.422,0,0.4953,0,369.2541,0,2.234,,,2159,9162,1184,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,826.8174,245.2054,59.5132,18.8162,6.0212,1.9816,0.1192,0.1401,0.1015,0.0608,60.6148,52.6091,22.401,9.9557,4.1934,1.6749,0.1202,0.1638,0.13,0.0868,19.2943,16.746,7.1305,3.169,1.3348,0.5331,0.0382,0.0521,0.0414,0.0276,0.4355,0.9381,0.6797,0.422,0.2332,0.1129,0.0097,0.0152,0.0133,0.0099,2054,97,7,1,0,0,0,0,0,0,
C2_3,KM,7/18/2022 13:48:11,1.152,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,292.7911,13.8608,21.1236,430 420 2610 3750  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,1068.8121,0,64.2087,0,201.7175,0,0.6007,0,340.386,0,3.03,,,2058,8440,847,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,701.064,236.9118,69.9006,31.9331,14.1515,7.0114,4.1536,1.5972,0.9863,0.7355,53.3018,51.2359,26.4161,17.071,10.0148,6.0141,4.2092,1.8853,1.3227,1.5035,16.9665,16.3089,8.4085,5.4339,3.1878,1.9143,1.3398,0.6001,0.421,0.4786,0.3903,0.9205,0.8045,0.7312,0.5663,0.4115,0.34,0.1774,0.1414,0.2463,1921,109,20,6,2,0,0,0,0,0,
C3_4,KM,7/18/2022 13:51:09,1.321,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,272.5482,16.2134,16.8101,240 1100 2790 3750  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1124.8422,0,71.0943,0,223.3493,0,0.632,0,358.23,0,3.529,,,2011,9883,981,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,711.2531,262.5443,77.6215,38.937,15.1627,8.2183,6.1752,2.2517,1.3907,0.9275,52.3401,57.5383,29.4558,20.805,10.6552,6.9743,6.2778,2.6774,1.8305,1.5152,16.6604,18.315,9.3761,6.6224,3.3916,2.22,1.9983,0.8523,0.5827,0.4823,0.3798,1.0477,0.9012,0.8911,0.5983,0.4719,0.5091,0.2536,0.192,0.1989,1914,86,6,5,0,0,0,0,0,0,
T2_2,KM,7/18/2022 13:53:20,1.039,,,,,,ScannerOrCamera,,225.2984,13.3522,16.8735,300 890 2400 3550  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,736.404,0,48.4331,0,152.157,0,0.6577,0,234.5236,0,2.502,,,1245,5006,442,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,445.1333,190.6496,58.5901,20.5333,9.0364,4.2823,4.1086,1.2043,0.5599,2.1091,35.0017,41.2321,21.8152,11.0926,6.2876,3.6549,4.1695,1.3995,0.7738,3.5151,11.1414,13.1246,6.944,3.5309,2.0014,1.1634,1.3272,0.4455,0.2463,1.1189,0.2664,0.7415,0.6549,0.4805,0.3496,0.249,0.3374,0.1295,0.0851,0.4695,1181,61,3,0,0,0,0,0,0,0,
