RHIZO 2017a,Operator,Analysis Date Time,Dry_root_weight_g_measured,Tin_weight_g,Pre_burn_g,Post_burn_g_with_tin,Bost_burn_g_no_tin,percent_root,ImageFileName,ImageAcqDeviceAndSoftwareInfo DateTimeModified,AnalysedRegionArea(cm2),AnalysedRegionWidth(cm),AnalysedRegionHeight(cm),Left Top Right Bottom  NExclusions,DevOrder Criteria,ImgType CalibMeth TPU Units PxSizeH PxSizeV [CalFile],PxClassif,Filters,Fractal PxMin PxMax,SoilVol(m3),Length(cm),LengthTen(cm)/RatioHypLeafToRootLen,ProjArea(cm2),ProjAreaTen(cm2)/RatioHypLeafToRootArea,SurfArea(cm2),SurfAreaTen(cm2),AvgDiam(mm),AvgDiamTen(mm),LenPerVol(cm/m3),LenPerVolTen(cm/m3),RootVolume(cm3),FractalDimension,FractalDeviation,Tips,Forks,Crossings,NofLinks,Altitude,ExternalPathLength,LinkAvgLength(cm),LinkAvgProjArea(cm2),LinkAvgSurfArea(cm2),LinkAvgDiam(mm),LinkAvgBrAngle(deg),NofNodules,HypocotylLeafArea,HypocotylLeafLength,NAxis,Main NAxis,Main TotLength,Lateral NAxis,Lateral TotLength,Tertiary NAxis,Tertiary TotLength,NSeedlings,NumberOfClasses,ClassBoundaries,0<.L.<=0.5000000,0.5000000<.L.<=1.0000000,1.0000000<.L.<=1.5000000,1.5000000<.L.<=2.0000000,2.0000000<.L.<=2.5000000,2.5000000<.L.<=3.0000000,3.0000000<.L.<=3.5000000,3.5000000<.L.<=4.0000000,4.0000000<.L.<=4.5000000,.L.>4.5000000,0<.SA.<=0.5000000,0.5000000<.SA.<=1.0000000,1.0000000<.SA.<=1.5000000,1.5000000<.SA.<=2.0000000,2.0000000<.SA.<=2.5000000,2.5000000<.SA.<=3.0000000,3.0000000<.SA.<=3.5000000,3.5000000<.SA.<=4.0000000,4.0000000<.SA.<=4.5000000,.SA.>4.5000000,0<.PA.<=0.5000000,0.5000000<.PA.<=1.0000000,1.0000000<.PA.<=1.5000000,1.5000000<.PA.<=2.0000000,2.0000000<.PA.<=2.5000000,2.5000000<.PA.<=3.0000000,3.0000000<.PA.<=3.5000000,3.5000000<.PA.<=4.0000000,4.0000000<.PA.<=4.5000000,.PA.>4.5000000,0<.V.<=0.5000000,0.5000000<.V.<=1.0000000,1.0000000<.V.<=1.5000000,1.5000000<.V.<=2.0000000,2.0000000<.V.<=2.5000000,2.5000000<.V.<=3.0000000,3.0000000<.V.<=3.5000000,3.5000000<.V.<=4.0000000,4.0000000<.V.<=4.5000000,.V.>4.5000000,0<.T.<=0.5000000,0.5000000<.T.<=1.0000000,1.0000000<.T.<=1.5000000,1.5000000<.T.<=2.0000000,2.0000000<.T.<=2.5000000,2.5000000<.T.<=3.0000000,3.0000000<.T.<=3.5000000,3.5000000<.T.<=4.0000000,4.0000000<.T.<=4.5000000,.T.>4.5000000,Column1
C3_2,KM,7/15/2022 16:25:00,1.247,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,323.0891,15.0689,21.4408,260 410 2630 3790  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-139,Smooth Off Area Off LWRatio Off,Off,3.14,1396.8561,0,69.943,0,219.7325,0,0.5007,0,444.8586,0,2.751,,,3493,11496,1419,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,1003.2258,273.6202,68.1619,30.0287,11.2688,4.0752,2.3899,1.0807,1.2567,0.8729,67.7056,58.7495,25.8208,16.2661,7.7838,3.4828,2.4255,1.2924,1.6589,1.4827,21.5514,18.7005,8.219,5.1776,2.4777,1.1086,0.7721,0.4114,0.528,0.4719,0.4663,1.0463,0.7877,0.7062,0.4293,0.2375,0.1964,0.1231,0.1744,0.2036,3351,116,16,7,1,2,0,0,0,0,
C4_4,KM,7/15/2022 16:28:49,1.062,,,,,,C4_4_7_13.TIF,Regent Instruments Inc.  WinRHIZO Reg 2017a,268.3821,14.1406,18.9796,248 704 2472 3696  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,889.8363,0,51.749,0,162.5744,0,0.5816,0,283.3874,0,2.364,,,1645,6219,708,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,593.7064,199.817,49.7244,24.0154,10.935,5.6989,1.6163,2.6286,0.7392,0.7871,43.1623,43.615,18.9196,12.8717,7.6546,4.9609,1.6032,3.0641,0.9756,1.4931,13.739,13.8831,6.0223,4.0972,2.4365,1.5791,0.5103,0.9753,0.3105,0.4753,0.3075,0.7901,0.5811,0.5533,0.4282,0.3445,0.1269,0.2847,0.1026,0.2318,1551,79,7,6,2,0,0,0,0,0,
C4_3,KM,7/15/2022 16:30:42,0.306,,,,,,C4_3_7_13.TIF,Regent Instruments Inc.  WinRHIZO Reg 2017a,186.3125,12.1568,15.3257,384 776 2296 3192  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,468.1184,0,22.2275,0,69.8297,0,0.4748,0,149.0823,0,0.829,,,808,2898,360,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,345.2985,96.0889,15.9983,6.903,2.0698,0.8504,0.7169,0.1415,0,0,26.8244,20.0937,5.974,3.6871,1.4564,0.7303,0.7343,0.1649,0,0,8.5385,6.396,1.9016,1.1736,0.4636,0.2325,0.2337,0.0525,0,0,0.1988,0.3486,0.18,0.1579,0.0818,0.05,0.06,0.0153,0,0,769,31,6,1,1,0,0,0,0,0,
T1_1,KM,7/15/2022 16:33:52,0.217,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,172.1464,11.9025,14.463,384 1044 2256 3324  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-141,Smooth Off Area Off LWRatio Off,Off,3.14,429.9299,0,21.3192,0,66.9762,0,0.4959,0,136.9204,0,0.83,,,842,2922,341,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,313.0489,91.8611,16.9543,4.6188,2.204,0.7546,0.1423,0,0,0,25.932,19.5785,6.3811,2.4546,1.5469,0.6318,0.1438,0,0,0,8.2544,6.232,2.0312,0.7813,0.4924,0.2011,0.0458,0,0,0,0.199,0.3464,0.1935,0.1045,0.0867,0.0422,0.0116,0,0,0,805,34,3,0,0,0,0,0,0,0,
T1_3,KM,7/15/2022 16:36:48,0.393,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,136.2419,11.2921,12.0652,444 1104 2220 3006  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-140,Smooth Off Area Off LWRatio Off,Off,3.14,668.7165,0,31.1354,0,97.8148,0,0.4656,0,212.9671,0,1.139,,,1354,5493,744,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,495.1951,129.6992,28.6342,9.5157,3.4344,0.9124,0.3796,0.0287,0.1322,0,35.7571,27.5479,10.6247,5.0989,2.3742,0.7983,0.3955,0.0367,0.1721,0,11.3819,8.7688,3.382,1.623,0.7557,0.2541,0.1259,0.0117,0.0548,0,0.2547,0.4866,0.3176,0.2189,0.1311,0.0558,0.0328,0.0038,0.0178,0,1274,64,15,1,0,0,0,0,0,0,
C4_1,KM,7/15/2022 16:39:44,1.237,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,287.0423,15.4122,18.6243,256 936 2680 3872  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1155.786,0,70.6143,0,221.8412,0,0.611,0,368.0847,0,3.388,,,2255,10907,1097,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,760.668,249.2811,72.3099,31.3489,17.7756,10.4338,5.086,4.4599,1.6462,2.4409,54.9905,54.1118,27.3785,16.8247,12.3875,8.946,5.1456,5.1687,2.168,4.0991,17.504,17.2243,8.7149,5.3555,3.9431,2.8476,1.6379,1.6452,0.6901,1.3048,0.3974,0.9777,0.8357,0.7238,0.6896,0.6117,0.4152,0.4772,0.2274,0.5557,2164,81,3,6,1,0,0,0,0,0,
T1_2,KM,7/15/2022 16:45:36,1.304,1.761,0.22,1.776,0.015,0.9318181818,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,280.7672,15.1579,18.5228,216 744 2600 3664  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1067.1861,0,63.7728,0,200.3482,0,0.5976,0,339.8682,0,2.993,,,2082,9200,920,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,722.4721,208.3462,66.6914,40.8805,13.1287,7.1162,4.3462,1.6604,0.8023,1.1706,52.964,44.8064,25.563,21.9757,9.201,6.0879,4.4154,1.9512,1.0491,2.0084,16.859,14.2623,8.137,6.9951,2.9288,1.9378,1.4055,0.6211,0.3339,0.6393,0.3818,0.8006,0.7898,0.9468,0.5153,0.4156,0.3577,0.1827,0.1093,0.2796,1979,84,13,3,1,0,2,0,0,0,
T2_3,KM,7/15/2022 16:50:50,1.612,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,324.4297,16.0226,20.2482,200 512 2720 3704  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-136,Smooth Off Area Off LWRatio Off,Off,3.14,1165.4497,0,81.6976,0,256.6607,0,0.701,0,371.1623,0,4.498,,,2587,11293,901,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,682.8091,283.4457,110.8188,45.8001,19.9223,9.1751,5.4601,3.0199,2.3006,2.3863,50.8231,63.0117,41.9619,24.7026,13.8355,7.8634,5.5323,3.4993,3.042,3.9171,16.1775,20.0572,13.3569,7.8631,4.404,2.503,1.761,1.1139,0.9683,1.2468,0.3739,1.162,1.2809,1.0682,0.7676,0.5379,0.4472,0.3231,0.3205,0.5209,2460,114,9,3,1,0,0,0,0,0,
C1_2,KM,7/15/2022 16:54:33,0.774,1.756,1.892,1.763,0.007,0.9425,ScannerOrCamera,,244.5826,14.6492,16.6959,232 656 2536 3288  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-137,Smooth Off Area Off LWRatio Off,Off,3.14,956.366,0,53.5289,0,168.1661,0,0.5597,0,304.5751,0,2.353,,,1722,9715,1224,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,648.8129,203.4402,57.0093,24.3684,11.922,5.883,2.759,1.1518,0.5433,0.3864,46.2643,43.8949,21.5963,13.219,8.3961,5.1017,2.8117,1.3687,0.693,0.665,14.7264,13.9722,6.8743,4.2077,2.6725,1.6239,0.895,0.4357,0.2206,0.2117,0.3236,0.7864,0.6597,0.575,0.4726,0.353,0.2284,0.1297,0.0704,0.0922,1658,49,9,4,1,0,1,0,0,0,
C1_1,KM,7/15/2022 16:59:34,1.01,,,,,,ScannerOrCamera,EPSON EPSON Scan 2 EPSON Expression 12000XL 2.2 V6.2 6.2.2.13428,322.1372,15.5775,20.6796,170 230 2620 3490  0,MAG ANG DIAM LEN,Grey Intr cm 0.006358 0.006343 Scanner.Cal,GreyThdAutom-138,Smooth Off Area Off LWRatio Off,Off,3.14,1225.7836,0,65.0461,0,204.3483,0,0.5306,0,390.3769,0,2.711,,,2700,10903,1317,,,,,,,,,0,,,,,,,,,,,10,0.0000000 0.5000000 1.0000000 1.5000000 2.0000000 2.5000000 3.0000000 3.5000000 4.0000000 4.5000000,880.7973,216.9258,70.6306,30.436,14.2594,5.2288,3.4607,1.4363,1.25,0.8693,60.3625,47.4673,26.6081,16.341,10.0598,4.5156,3.458,1.6867,1.6598,1.4459,19.214,15.1093,8.4696,5.2015,3.2021,1.4374,1.1007,0.5369,0.5283,0.4602,0.4128,0.8638,0.808,0.7029,0.5672,0.3111,0.2755,0.1579,0.1756,0.1937,2562,110,23,1,2,0,1,0,1,0,
