Plot_ID,Type,Plot_Haglof,Plot_Radius,Tree_Nr,Tree_Spc,Strata,Tree_Dia,Tree_PosTex1,Tree_PosTex2,Tree_PosTex3,Tree_Local_x,Tree_Local_y,Tree_Local_Dist,Tree_Local_Angle,Tree_Angle_ToPlotCenter,Latitude,Longitude,,,,,,,,,
T1,Treatment,502,7.6,42,PIST,Sub,24,450,635,543,-5.4,0.34,5.41,273.6,-3,45.5583202,-84.6962746,,,,,,,,,
T2,Treatment,504,7.89,1,PIST,Sub,28,256,128,136,1.3,0.75,1.5,60.02,4,45.5583863,-84.6956915,,,,,,,,,
T2,Treatment,504,7.89,2,PIST,Sub,14,247,163,91,0.91,1.11,1.44,39.09,6,45.5583897,-84.6956963,,,,,,,,,
T2,Treatment,504,7.89,3,PIST,Sub,25,349,251,165,1.48,1.96,2.46,37.1,5,45.5583972,-84.6956886,,,,,,,,,
T2,Treatment,504,7.89,4,PIST,Sub,39,435,327,241,1.97,2.63,3.28,36.84,2,45.558403,-84.6956822,,,,,,,,,
T2,Treatment,504,7.89,5,PIST,Sub,40,417,326,212,1.51,2.72,3.11,29.04,-1,45.558404,-84.695688,,,,,,,,,
T2,Treatment,504,7.89,6,PIST,Sub,18,564,421,392,3.6,2.82,4.57,51.93,1,45.5584043,-84.6956612,,,,,,,,,
T2,Treatment,504,7.89,7,PIST,Sub,31,757,628,557,4.22,4.91,6.47,40.68,-1,45.558423,-84.6956525,,,,,,,,,
T2,Treatment,504,7.89,8,PIST,Sub,42,617,499,417,3.11,4.03,5.09,37.68,-4,45.5584153,-84.695667,,,,,,,,,
T2,Treatment,504,7.89,9,PIST,Sub,37,699,589,491,3.25,4.95,5.92,33.29,-2,45.5584235,-84.6956649,,,,,,,,,
T2,Treatment,504,7.89,10,PIST,Sub,18,719,608,512,3.41,5.09,6.12,33.82,-2,45.5584248,-84.6956628,,,,,,,,,
T2,Treatment,504,7.89,11,PIST,Sub,29,667,578,453,2.42,5.09,5.64,25.38,-3,45.5584251,-84.6956755,,,,,,,,,
T2,Treatment,504,7.89,12,PIST,Sub,47,635,541,421,2.4,4.72,5.29,26.95,-1,45.5584217,-84.6956759,,,,,,,,,
T2,Treatment,504,7.89,13,PIST,Sub,22,611,542,383,1.41,4.87,5.07,16.15,2,45.5584233,-84.6956885,,,,,,,,,
T2,Treatment,504,7.89,14,PIST,Sub,6,336,280,126,0.7,2.28,2.39,17.07,0,45.5584002,-84.6956985,,,,,,,,,
T2,Treatment,504,7.89,15,ACRU,Sub,28,201,203,26,-0.32,1.22,1.26,345.3,5,45.5583909,-84.695712,,,,,,,,,
T2,Treatment,504,7.89,16,ACRU,Sub,43,158,177,60,-0.35,0.66,0.75,332.06,4,45.5583859,-84.6957126,,,,,,,,,
T2,Treatment,504,7.89,17,ACRU,Sub,33,201,319,154,-1.6,1.37,2.1,310.57,-4,45.5583926,-84.6957283,,,,,,,,,
T2,Treatment,504,7.89,18,ACRU,Can,115,251,352,165,-1.56,1.85,2.41,319.86,-4,45.5583969,-84.6957276,,,,,,,,,
T2,Treatment,504,7.89,19,FAGR,Sub,63,269,363,175,-1.54,2.07,2.58,323.31,6,45.5583989,-84.6957273,,,,,,,,,
T2,Treatment,504,7.89,20,FAGR,Sub,49,295,412,227,-2.09,2.19,3.02,316.34,3,45.5584001,-84.6957342,,,,,,,,,
T2,Treatment,504,7.89,21,PIST,Sub,16,507,578,377,-1.94,4.45,4.85,336.49,4,45.5584204,-84.6957315,,,,,,,,,
T2,Treatment,504,7.89,22,FAGR,Sub,45,569,725,554,-5.13,3.39,6.15,303.46,-1,45.5584117,-84.6957728,,,,,,,,,
T2,Treatment,504,7.89,23,FAGR,Sub,12,595,748,577,-5.28,3.63,6.4,304.51,2,45.5584139,-84.6957746,,,,,,,,,
T2,Treatment,504,7.89,24,PIRE,Sub,87,427,604,461,-4.61,1.71,4.92,290.35,0,45.5583965,-84.6957667,,,,,,,,,
T2,Treatment,504,7.89,25,PIST,Sub,24,270,463,350,-3.52,0.52,3.56,278.4,1,45.5583855,-84.6957532,,,,,,,,,
T2,Treatment,504,7.89,26,PIST,Sub,24,264,458,367,-3.57,0.12,3.57,271.92,4,45.5583819,-84.695754,,,,,,,,,
T2,Treatment,504,7.89,27,QURU,Can,305,205,405,338,-2.94,-0.5,2.98,260.35,-2,45.5583762,-84.6957461,,,,,,,,,
T2,Treatment,504,7.89,28,PIST,Sub,22,52,253,239,-1.54,-0.75,1.71,244.03,1,45.5583735,-84.6957283,,,,,,,,,
T2,Treatment,504,7.89,29,PIST,Sub,33,333,516,517,-3.88,-2.33,4.53,239.01,1,45.5583599,-84.6957589,,,,,,,,,
T2,Treatment,504,7.89,30,PIST,Sub,37,410,588,595,-4.44,-2.86,5.28,237.21,0,45.5583553,-84.6957662,,,,,,,,,
